Title,Manufacturer,Amps,Voltage,Max. Voltage,Enclosure,Description,Link
"3000A, 600V Switchgear 02877-A3-88 w/ Control Module & 3 x 50HL-3 Air Breakers",FEDERAL PIONEER,,,600,,Model  02877-A3-88   Used   600   Breaker 1:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34580-87  Breaker 2:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34582-87  Breaker 3:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34581-87,https://www.lenmark.com//collections/breakers/products/3000a-600v-switchgear-02877-a3-88-w-control-module-3-x-50hl-3-air-breakers
"3000A, 600V Switchgear 02877-A5-88 w/ Control Module & 3 x 50HL-3 Air Breakers",FEDERAL PIONEER,,,600,,Model  02877-A5-88   Used   600   Breaker 1:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34587-87  Breaker 2:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34588-87  Breaker 3:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34589-87,https://www.lenmark.com//collections/breakers/products/3000a-600v-switchgear-02877-a5-88-w-control-module-3-x-50hl-3-air-breakers
Magnum DS 1250A 3-Pole Circuit Breaker 11PIECEF w/ 1600A Frame MDS616,EATON CUTLER-HAMMER,1250 amps,600 volts,,,"Model  11PIECEF   Used   1250 amps   MAGNUM DS   3   600 volts   3-phase   Frame Current Rating: 1600A (MDS616) Trip Unit: Digitrip 1150i+ 11PIECEF, 1250A",https://www.lenmark.com//collections/breakers/products/magnum-ds-1250a-3-pole-circuit-breaker-11piecef-w-1600a-frame-mds616
600 Amp 15 kV Vacuum Circuit Breaker 150VCP-TR25,EATON,600 amps,,,,Condition  Surplus New   600 amps   3   PDF Instruction Book  Max. Voltage: 15 kV rms Continuous Current: 600 A rms  Lightning Impulse Withstand Voltage: 95 kV peak Operating Duty Cycle: O-0.3s-CO-15s-CO  Interrupting Time: 50 ms Short Circuit Current: 25 kA rms  D.C. component: 54%  Short Time Current Duration: 2 sec Vacuum Breaker Type: Fixed,https://www.lenmark.com//collections/breakers/products/600-amp-15-kv-vacuum-circuit-breaker-150vcp-tr25
1600 Amp 3 Pole Power Circuit Breaker GN16N1,GENERAL ELECTRIC,1600 amps,,,,Model  GN16N1XXXXX2XXXL3XXV   401000219605   Surplus New   1600 amps   Entelliguard G   3   3-phase   Volts: 635 V AC Operation: Manual  Mounting: Draw Out Cat: GN16N1XXXXX2XXXL3XXV  Trip:-  Model: GGN16L3XXAFXXXX Amps: 1600 A,https://www.lenmark.com//collections/breakers/products/entelliguard-1600-amp-3-pole-power-circuit-breaker-gn16n1
"Magnum DS 2500A, 3-Pole, Double-Wide Circuit Breaker 11PIECEF w/ 4000A Frame",EATON CUTLER-HAMMER,2500 amps,600 volts,,,"Model  11PIECEF   Used   2500 amps   Magnum DS   3   600 volts   3-phase   Frame Current Rating: 4000A (MDS84N) Trip Unit: Digitrip 1150i+ 11PIECEF, 2500A",https://www.lenmark.com//collections/breakers/products/magnum-ds-2500a-3-pole-double-wide-circuit-breaker-11piecef-w-4000a-frame
3200A Air Circuit Breaker E3H-A 32,ABB,3200 amps,600 volts,,,Model  E3H-A 32   BF21014553   Surplus New   3200 amps   3   Plug-In   600 volts   3-phase   Maximum Voltage: 635V  Short-Circuit Current: 85kA  Short Time Current: 85kA  Frequency: 50/60Hz  AUX: 3A  VAC: 400,https://www.lenmark.com//collections/breakers/products/3200a-air-circuit-breaker-e3h-a-32-pr121-p
630 Amp SF1 3 Pole Circuit Breaker SF1,MERLIN GERIN,630 amps,,,,"Model  SF 1   S2SE0029028   Surplus New   630 amps   3   PDF BROCHURE  Voltage: 17.5 kV Withstand Voltage: 95 kV  Short Circuit Isc: 25 kA, 1 sec Current: 630 A  Closing Voltage: 48 VDC Opening Voltage: Y01 48 VDC  Motor Voltage: 48 VDC Rated Operation Sequence: O-3 min-CO-3 min-CO  SF6 Gas Pressure: 2 bar",https://www.lenmark.com//collections/breakers/products/sf1-3-pole-circuit-breaker-17-5-kv-630-a-sf6-gas
"2000A, 3-Pole RD Circuit Breaker RD320T33W, 600V w/ Digitrip 20RES20T",CUTLER-HAMMER,2000 amps,600 volts,,,Model  RD320T33W   Used   2000 amps   RD   3   Bolt-On   600 volts   3-phase  Style: 3A83946G43,https://www.lenmark.com//collections/breakers/products/2000a-3-pole-circuit-breaker-rd320t33w-600v-w-digitrip-20res20t
MASTERPACT 3200A 3-Pole Circuit Breaker NW32H1,SQUARE D,3200 amps,600 volts,,,Model  NW32H1   234608840301   Used   3200 amps   MASTERPACT   3   600 volts   3-phase  Cat. No.: WA4JFR44A9SXXXXXXA,https://www.lenmark.com//collections/breakers/products/masterpact-3200a-3-pole-circuit-breaker-nw32h1-2
2000 Amp 3 Pole Low-Voltage Fused Power Circuit Breaker DSLII-620,CUTLER-HAMMER,2000 amps,600 volts,,,"Model  DSLII-620   2009   Good   2000 amps   3   600 volts   3-phase   Interrupting Capacity: 200 kA  Mounting: Draw-out  Trip Unit: Digitrip RMS 910  Shunt Trip: 120 VAC  Spring Release: 120 VAC  OTS Reset: Manual  Motor Circuit: 120 VAC  Fuses: Class DSL, 600 V, 3000 A",https://www.lenmark.com//collections/breakers/products/2000-amp-3-pole-low-voltage-fused-power-circuit-breaker-dslii-620
MASTERPACT 3200A 3-Pole Circuit Breaker NW32H1,SQUARE D,3200 amps,600 volts,,,Model  NW32H1   234608840302   Used   3200 amps   MASTERPACT   3   600 volts   3-phase  Cat. No.: WA4JFR44A9SXXXXXXA,https://www.lenmark.com//collections/breakers/products/masterpact-3200a-3-pole-circuit-breaker-nw32h1-1
5 kV Metal-enclosed Load Interrupter Switchgear MVS,EATON CUTLER-HAMMER,,,,,Model  MVS   Used,https://www.lenmark.com//collections/breakers/products/5-kv-metal-enclosed-load-interrupter-switchgear-mvs
Circuit Breaker MXD63B800 800A 600V 3-Pole,SIEMENS,800 amps,600 volts,,,Model  MXD63B800   Very Good   800 amps   SENTRON   3   Bolt-On   600 volts   3-phase,https://www.lenmark.com//collections/breakers/products/circuit-breaker-mxd63b800-800a-600v-3-pole
Circuit Breaker CJD63H400 400A 600V 3-Pole,SIEMENS,400 amps,600 volts,,,Model  CJD63H400   Very Good   400 amps   SENTRON   3   Bolt-On   600 volts   3-phase,https://www.lenmark.com//collections/breakers/products/circuit-breaker-cjd63h400-400a-600v-3-pole
"3000A, 600V Switchgear 02877-A7-88 w/ Control Module & 3 x 50HL-3 Air Breakers",FEDERAL PIONEER,,,600,,Model  02877-A7-88   Used   600   Breaker 1:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34593-87  Breaker 2:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34579-87  Breaker 3:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34595-87,https://www.lenmark.com//collections/breakers/products/3000a-600v-switchgear-02877-a7-88-w-control-module-3-x-50hl-3-air-breakers
"Low Voltage PDC, 2000A Breaker CRDC320T32W, Power Meter PQMII",ALLEN-BRADLEY,,,600,,"S/N:  LRXX19/1   Used   600   Horizontal Bus Power: 1200 A Voltage: 600 V  Phase: 3 Enclosure: Type 1G  Circuit Breaker  Brand: Eaton Model: CRDC320T32W  Trip: Digitrip 310 unit RES2000LSI Interrupting Capacity:  200 kA @ 240 V  100 kA @ 480 V  65 kA @ 600 V  Power Quality Meter Brand: GE  Model: PQMII-T20-C-A Control Power:  90 - 300 VDC, 20 VA  70 - 265 VAC, 20 VA  Max. Contact Rating: 250 VAC, 8 A resistive",https://www.lenmark.com//collections/breakers/products/low-voltage-pdc-2000a-breaker-crdc320t32w-power-meter-pqmii
