Title,Manufacturer,Amps,Voltage,Max. Voltage,Bus Ratings,Electrical,Description,Link
SIEMENS Tiastar Motor Control Center (MCC) Section,SIEMENS,,,,,,"Model  TIASTAR   Used   Segment 1 Buckets   104578 - Full Voltage Non-Reversing MCC Bucket, Size 2  104579 - Full Voltage Non-Reversing MCC Bucket, Size 2  104580 - Feeder Circuit Breaker MCC Bucket, 20a  104581 - Transformer MCC Bucket, 7.5kVA, Single-Phase Dry Type  104582 - Full Voltage Non-Reversing MCC Bucket, Size 5 (FOR PARTS ONLY)  104583 - Full Voltage Non-Reversing MCC Bucket, Size 1  104584 - Full Voltage Non-Reversing MCC Bucket, Size 2  Segment 2 Buckets   103733 - Full Voltage Non-Reversing MCC Bucket, Size 2  103734 - Dual 30A/20A Circuit Breaker MCC Bucket  103735 - Dual 15A Circuit Breaker MCC Bucket  103736 - Full Voltage Non-Reversing MCC Bucket, Size 1  103737 - Full Voltage Non-Reversing MCC Bucket, Size 2  103738 - Full Voltage Non-Reversing MCC Bucket, Size 2  103739 - Full Voltage Non-Reversing MCC Bucket, Size 2  103740 - Full Voltage Non-Reversing MCC Bucket, Size 2  103741 - Full Voltage Non-Reversing MCC Bucket, Size 3  Segment 3 Buckets   104688 - Full Voltage Non-Reversing MCC Bucket, Size 2  104689 - Full Voltage Non-Reversing MCC Bucket, Size 2  104690 - Full Voltage Non-Reversing MCC Bucket, Size 1  104691 - Full Voltage Non-Reversing MCC Bucket, Size 2  104692 - Full Voltage Non-Reversing MCC Bucket, Size 2  104693 - Full Voltage Non-Reversing MCC Bucket, Size 2  104694 - Full Voltage Non-Reversing MCC Bucket, Size 2  104695 - Full Voltage Non-Reversing MCC Bucket, Size 1  104696 - Full Voltage Non-Reversing MCC Bucket, Size 1  104697 - Full Voltage Contactor MCC Bucket, Size 1  104698 - Full Voltage Contactor MCC Bucket, Size 1",https://www.lenmark.com//collections/mcc/products/siemens-tiastar-motor-control-center-mcc-section-8
"Five Star Motor Control Center (MCC), 600V Max., 1000A, 55 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-motor-control-center-mcc-600v-max-1000a-55-buckets
SIEMENS Tiastar Motor Control Center (MCC) Section,SIEMENS,,,,,,"Model  TIASTAR   Used   Segment 1 Buckets   104303 - 9300 Series Power Meter MCC Bucket  104304 - Circuit Breaker MCC Bucket, 800A  104305 - Circuit Breaker MCC Bucket, 800A  104306 - Dual 80A Circuit Breaker MCC Bucket  104307 - Dual 60A Circuit Breaker MCC Bucket  104308 - Feeder Circuit Breaker MCC Bucket, 20A  104309 - Transformer MCC Bucket, 7.5kVA, Single-Phase Dry Type  Segment 2 Buckets   104347 - Dual 30A Circuit Breaker MCC Bucket  104348 - Dual 30A Circuit Breaker MCC Bucket  104349 - Full Voltage Non-Reversing MCC Bucket, Size 1  104350 - Full Voltage Non-Reversing MCC Bucket, Size 2  104351 - Circuit Breaker MCC Bucket, 250A  104531 - Dual 15A Circuit Breaker MCC Bucket  104532 - Dual 15A Circuit Breaker MCC Bucket  104533 - Dual 15A Circuit Breaker MCC Bucket  104534 - Dual 20/15A Circuit Breaker MCC Bucket  Segment 3 Buckets   104338 - Dual 15A Circuit Breaker MCC Bucket  104339 - Dual 15/40A Circuit Breaker MCC Bucket  104340 - Full Voltage Non-Reversing MCC Bucket, Size 1  104341 - Full Voltage Non-Reversing MCC Bucket, Size 1  104342 - Full Voltage Non-Reversing MCC Bucket, Size 1  104343 - Full Voltage Non-Reversing MCC Bucket, Size 1  104344 - SIMOCODE Repeater MCC Bucket  104345 - Dual 15/40A Circuit Breaker MCC Bucket  104346 - Dual 30/15A Circuit Breaker MCC Bucket",https://www.lenmark.com//collections/mcc/products/siemens-tiastar-motor-control-center-mcc-section-2
"5kV/3000A Medium Voltage MCC, Single Structure w/ Feeder Protection Relay",ALLEN-BRADLEY,,,5000,"5000V Max., 3000A, 3-ph",,"S/N:  7013366-001-12   CANADA   Used   5000   Structure Configuration: 2-High Series No.: 7013366-001-12  Structure Series: M NEMA Type: 12  Bus Rating: 5000V Max., 3000A, 3-ph Top Unit Rating: 260A  Bottom Unit Rating: 300A Structure Total: 560A  Unit Components  GENERAL ELECTRIC F35 Multiple Feeder Management Relay ALLEN-BRADLEY Non-load Break Isolation Switch 3 x FERRAZ SHAWMUT Fuses A055F1D0R0-200E ALLEN-BRADLEY Vacuum Contactor, 2500-7200V, 400A, 6000A Interrupting Capacity 3 x Donut-Type Current Transformers",https://www.lenmark.com//collections/mcc/products/5kv-3000a-medium-voltage-mcc-single-structure-w-feeder-protection-relay
5kV/1200A Medium Voltage MCC Single Structure w/ Motor Protection Relay,ALLEN-BRADLEY,,,5000,"5000V Max., 1200A, 3-ph",,"S/N:  7006202-001-05   Used   5000   Structure Configuration: 2-High Series No.: 7006202-001-05  Structure Series: L NEMA Type: 12  Bus Rating: 5000V Max., 1200A, 3-ph Top Unit Rating: 260A  Bottom Unit Rating: 300A Structure Total: 560A  Unit Components  GENERAL ELECTRIC Motor Protection Relay 369-HI-R-M-0-P-0 ALLEN-BRADLEY Non-load Break Isolation Switch 3 x FERRAZ SHAWMUT Fuses A480R3R-1 ALLEN-BRADLEY Vacuum Contactor, 2500-7200V, 400A, 6000A Interrupting Capacity 3 x Bar-Type Current Transformers (Top) 3 x Donut-Type Current Transformers (Bottom)",https://www.lenmark.com//collections/mcc/products/5kv-1200a-medium-voltage-mcc-single-structure-w-motor-protection-relay-3
5kV/1200A Medium Voltage MCC Single Structure w/ Motor Protection Relay,ALLEN-BRADLEY,,,5000,"5000V Max., 1200A, 3-ph",,"S/N:  7006202-002-05   Used   5000   Structure Configuration: 2-High Series No.: 7006202-002-05  Structure Series: L NEMA Type: 12  Bus Rating: 5000V Max., 1200A, 3-ph Top Unit Rating: 260A  Bottom Unit Rating: 300A Structure Total: 560A  Unit Components  GENERAL ELECTRIC Motor Protection Relay 369-HI-R-M-0-P-0 ALLEN-BRADLEY Non-load Break Isolation Switch 3 x FERRAZ SHAWMUT Fuses A480R6R-1 ALLEN-BRADLEY Vacuum Contactor, 2500-7200V, 400A, 6000A Interrupting Capacity 3 x Donut-Type Current Transformers",https://www.lenmark.com//collections/mcc/products/5kv-1200a-medium-voltage-mcc-single-structure-w-motor-protection-relay-1
"Motor Control Cabinet w/ GE Multilin 269-100P-120, 22,164hrs",GENERAL ELECTRIC,,,,,,"Model  269-100P-120   B2037396   Used   Components:  GE Multilin Motor Management Relay System 269-100P-120 2 x TOSHIBA Vacuum Contactor CV-5HA, 2.5/5.0kV, 400A, 7.0kA Int. NECO HAMMOND 800HP, 4160V, 3-Ph Motor Starting Auto-Transformer 2823N8.0",https://www.lenmark.com//collections/mcc/products/motor-control-cabinet-w-ge-multilin-269-100p-120-22-164hrs
5kV/1200A Medium Voltage MCC Single Structure w/ Motor Protection Relays,ALLEN-BRADLEY,,,5000,"5000V Max., 1200A, 3-ph",,"S/N:  7006202-008-05   Used   5000   Structure Configuration: 2-High Series No.: 7006202-008-05  Structure Series: L NEMA Type: 12  Bus Rating: 5000V Max., 1200A, 3-ph Top Unit Rating: 260A  Bottom Unit Rating: 300A Structure Total: 560A  Unit Components  GENERAL ELECTRIC Motor Protection Relay 369-HI-R-M-0-P-0 ALLEN-BRADLEY Non-load Break Isolation Switch 3 x FERRAZ SHAWMUT Fuses A480R6R-1 ALLEN-BRADLEY Vacuum Contactor, 2500-7200V, 400A, 6000A Interrupting Capacity 3 x Donut-Type Current Transformers",https://www.lenmark.com//collections/mcc/products/5kv-1200a-medium-voltage-mcc-single-structure-w-motor-protection-relays
"3000A, 600V Switchgear 02877-A4-88 w/ Control Module & 4 x 50HL-3 Air Breakers",FEDERAL PIONEER,,,600,,,Model  02877-A4-88   Used   600   Breaker 1:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 60hz Serial: BH34583-87  Breaker 2:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1280 Int. Capacity: 200kA  Contact I.C.: 50kA Control: 120VAC  Frequency: 50hz Serial: BH47815-95  Breaker 3:  Type: 50HL-3 Poles: 3  Volts: 600 Frame Size: 1600  Relay: 1000 Int. Capacity: 200kA  Contact I.C.: 50kA Frequency: 60hz  Serial: BH34594-87 Breaker 4: Type: 50HL-3  Poles: 3 Volts: 600  Frame Size: 1600 Relay: 1000  Int. Capacity: 200kA Contact I.C.: 50kA  Control: 120VAC Frequency: 60hz  Serial: BH34586-87,https://www.lenmark.com//collections/mcc/products/3000a-600v-switchgear-02877-a4-88-w-control-module-4-x-50hl-3-air-breakers
"5kV CENTERLINE 1500 Vacuum Starter Section 1512AT-AXE, 1-High, 1500kVA, 1200A",ALLEN-BRADLEY,1200 amps,5000 volts,,"5000V Max., 1200A, 3-Ph, 60hz  Unit Ratings:",,"Model  1512AT-AXE   7011738-005-11   Surplus New   1200 amps   5000 volts   3-phase   Yes   Structure Series: M NEMA Type: 1  Bus Ratings:  5000V Max., 1200A, 3-Ph, 60hz  Unit Ratings:  Top: 360A Total Structure: 360A",https://www.lenmark.com//collections/mcc/products/5kv-centerline-1500-vacuum-starter-section-1512at-axe-1-high-1500kva-1200a
