Title,Manufacturer,Amps,Voltage,Max. Voltage,Enclosure,Description,Link
Start/Stop Switch,Lenmark Industries,,,,,Condition  -- None --   Single   Voltage @ 3hp: 220 volts  Voltage @ 2hp: 115 volts,https://www.lenmark.com//collections/switches/products/start-stop-switch
Vibronic Point level detection Nivotester FTL325P-O3E3,ENDRESS+HAUSER,2 amps,200 volts,,,Model  FTL325P-O3E3   9403D601093   GERMANY   Used   2 amps   200 volts,https://www.lenmark.com//collections/switches/products/vibronic-point-level-detection-nivotester-ftl325p-o3e3
Layer 2 Ethernet Switch S2710-52P-SI-AC,HUAWEI,,,,,Model  S2710-52P-SI-AC   2017   CHINA   Used   Voltage: 100 - 240 V Memory (RAM): 128 MB  Flash: 16 MB Max. Power Consumption: 38 W  Operating Temp.: -5C to +50C Storage Temp.: -40C to +70C  Structure  (48) 10/100BASE-TX ports (2) 1000BASE-X ports (2) 100/1000BASE-X ports (1) console port (1) Ground screw (1) Power switch (1) AC socket,https://www.lenmark.com//collections/switches/products/layer-2-ethernet-switch-s2710-52p-si-ac
15 Amps Temperature Control Switch C7-102,UNITED ELECTRIC CONTROLS,15 amps,,,,Model  C7-102   UNITED STATES   Surplus New   15 amps   3-phase   Type: C7 Temperature: 0-225 deg  Voltage: 125/250 VAC,https://www.lenmark.com//collections/switches/products/15-amps-temperature-control-switch-c7-102
Explosion-Proof Differential Pressure Switch 1950-5-6B,DWYER INSTRUMENTS,,,,,"Model  1950-5-6B   Surplus New   Service: Air and con-combustible, compatible gases  Enclosure Rating: NEMA 3, 7 & 9  Switch Type: Single-pole double-throw  Electrical Rating: 15A @ 125, 250, 480VAC, 60hz  Electrical Connections: 3 screw type, common, normally open and normally closed  Process Connections: 1/8"" Female NPT",https://www.lenmark.com//collections/switches/products/explosion-proof-differential-pressure-switch-1950-5-6b
Stationary Rockbreaker High Temperature Switch,Lenmark Industries,,,,,Condition  Surplus New,https://www.lenmark.com//collections/switches/products/stationary-rockbreaker-high-temperature-switch
22 Amp Defender Explosion Proof Thermostat XT-311 w/ Heavy Duty Control Switch,RUFFNECK,20 amps,,,,"Model  XT-311 w/ DSD933   Used   20 amps   DSD933 Explosion Proof Tumbler Switch  Make: Crouse-Hinds  Switch Voltage Rating: 120-277 VAC  Switch Current Rating: 20 Amps- 1 HP @120 Vac & 2 HP @ 240 Vac  Grounding: Single Internal Housing Ground Screw  Configuration: Feed Through, Front Switch  Hub Qty: (2) Feed Through or (1) Dead End  Hub Size: 1/2, 3/4, 1 inch option  Unit Materials: Box/Receptacle- Malleable Aluminum, Sealing Chamber-Aluminum  Finish: Triple-coat?Zinc Electroplate, Chromate, Epoxy powder coat  Insulation: Integral Bushings in Conductor Openings  Mounting: External Mounting Lugs on Body  Unit Dimensions: 3.00""-W X 4.69""-D X 6.13 ""-L  Switch Type: Single Pole XT-311  Amperage: 22 Amp  Voltage: 480VAC 1/2 HP, 125 VAC, 1 HP, 250",https://www.lenmark.com//collections/switches/products/22-amp-defender-explosion-proof-thermostat-xt-311-w-heavy-duty-control-switch
125 to 3000 psi Pressure Switch H100-612,UNITED ELECTRIC CONTROLS,15 amps,480 volts,,,"Model  H100-612   UNITED STATES   Surplus New   15 amps   480 volts   Series: H100 Wetted Material: 303 Stainless Steel, Buna-N  Switch Output: SPDT Thread Size: 1/4"" NPT (female)  Process Connection: 303 Stainless Steel Piston, Buna N O-Ring with 303 Stainless Steel, 1/4"" NPT (female) Pressure Connection Operating Pressure Rating: 125 to 3000psi/ 8.6 to 206.8 bar  Proof Pressure: 10,000 psi Over Range Pressure: 6000 psi",https://www.lenmark.com//collections/switches/products/125-to-3000-psi-pressure-switch-h100-612
Temperature Switch MT1H-M251S-12-A,BARKSDALE,10 amps,480 volts,,,"Model  MT1H-M251S-12-A   Surplus New   10 amps   480 volts   Contact Configuration: 1SPDT, Snap-Action Contact Rating: 10 A @ 125/250 VAC, 3 A @ 480 VAC, 0.5 A @ 125 VDC, 0.25 A @ 250 VDC  Maximum Temperature Rating: 250 °F (Adjustable), 2 °F (Differential) Product Type: Temperature Switches  Temperature Range: 50° To 250 °F (Adjustable), 1° To 2 °F (Differential) Enclosure (NEMA Rating): NEMA 4",https://www.lenmark.com//collections/switches/products/temperature-switch-mt1h-m251s-12-a
Heater Switch DSD933,COOPER,20 amps,,,,Model  DSD933   Used   20 amps,https://www.lenmark.com//collections/switches/products/heater-switch-dsd933-1
