Title,Manufacturer,kVA,Primary Voltage,Secondary Voltage,Phase,Oil vs Dry,Transformer Type,Enclosure,Description,Link
"45 kVA Isolation Transformer, 600V HV, 208Y/120V LV",FEDERAL PIONEER,45 kVA,600 volts,208Y/120 volts,3-phase,Dry,,,S/N:  51417-52   Used   45 kVA   600 volts   208Y/120 volts   3-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/45-kva-isolation-transformer-600v-hv-208y-120v-lv
"30kVA, 3-Ph Isolation Transformer BA30H-M/Z3, 480V Pri., 120/208Y Sec.",REX POWER MAGNETICS,30 kVA,480 volts,120/208 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  BA30H-M/Z3   23L22015   New   30 kVA   480 volts   120/208 volts   3-phase   Distribution Transformer   Isolation   Dry   Nema 3R,https://www.lenmark.com//collections/dry-type-transformer/products/30kva-isolation-transformer-ba30h-m-z3-480v-pri-120-208y-sec
"15kVA, 3-Ph Isolation Transformer BA15J-M/Z3, 600V Pri., 120/208Y Sec.",REX POWER MAGNETICS,15 kVA,600 volts,120/208 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  BA15J-M/Z3   24A25052   New   15 kVA   600 volts   120/208 volts   3-phase   Distribution Transformer   Isolation   Dry   Nema 3R,https://www.lenmark.com//collections/dry-type-transformer/products/15kva-isolation-transformer-ba15j-m-z3-600v-pri-120-208y-sec
"45 kVA Isolation Transformer, 600D pri. volts, 380Y/220 sec. volts TVR45T-P34A",BEAVER,45 kVA,600 Delta volts,380Y/220 volts,3-phase,Dry,Distribution Transformer,Nema 2,S/N:  J 09904-2   Used   45 kVA   600 Delta volts   380Y/220 volts   3-phase   Distribution Transformer   Isolation   Dry   Nema 2,https://www.lenmark.com//collections/dry-type-transformer/products/45-kva-isolation-transformer-600d-pri-volts-380y-220-sec-volts-tvr45t-p34a
"30kVA, 3-Ph Autotransformer RC30J-B/N/X, 600/347V Pri., 208/120V Sec.",REX POWER MAGNETICS,30 kVA,600 volts,208/120 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  RC30J-B/N/X   New   30 kVA   600 volts   208/120 volts   3-phase   Distribution Transformer   Auto   Dry   Nema 3R  Photos Pending.,https://www.lenmark.com//collections/dry-type-transformer/products/30kva-3-ph-autotransformer-rc30j-b-n-x-600-347v-pri-208-120v-sec
"30kVA, 3-Ph Autotransformer RC30H-B/N/X, 480/277V Pri., 208/120V Sec.",REX POWER MAGNETICS,30 kVA,480 volts,208/120 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  RC30H-B/N/X   New   30 kVA   480 volts   208/120 volts   3-phase   Distribution Transformer   Auto   Dry   Nema 3R  Photos Pending.,https://www.lenmark.com//collections/dry-type-transformer/products/30kva-3-ph-autotransformer-rc30h-b-n-x-480-277v-pri-208-120v-sec
"45 kVA Isolation Step-Up Transformer, Pri. 208 Delta V, Sec. 400Y/231 V",BEAVER,45 kVA,208 Delta volts,400Y/231 volts,3-phase,Dry,,Nema 2,Model  BC45BN1/B   B49678   CANADA   Used   45 kVA   208 Delta volts   400Y/231 volts   3-phase   Isolation   Dry   Nema 2   Insulation Class: 220 deg C Temperature Rise: 150 deg C,https://www.lenmark.com//collections/dry-type-transformer/products/45-kva-isolation-step-up-transformer-pri-208-delta-v-sec-400y-231-v
"45kVA, 3-Ph Autotransformer RC45J-F/N/X, 600V Pri., 380V Sec.",REX POWER MAGNETICS,45 kVA,600 volts,380 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  RC45J-F/N/X   New   45 kVA   600 volts   380 volts   3-phase   Distribution Transformer   Auto   Dry   Nema 3R  Photos Pending.,https://www.lenmark.com//collections/dry-type-transformer/products/45kva-3-ph-autotransformer-rc45j-f-n-x-600v-pri-380v-sec
"30kVA, 3-Ph Isolation Transformer BA30J-M/Z3, 600V Pri., 120/208Y Sec.",REX POWER MAGNETICS,30 kVA,600 volts,120/208 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  BA30J-M/Z3   24C07079   New   30 kVA   600 volts   120/208 volts   3-phase   Distribution Transformer   Isolation   Dry   Nema 3R,https://www.lenmark.com//collections/dry-type-transformer/products/30kva-isolation-transformer-ba30j-m-z3-600v-pri-120-208y-sec
"45 kVA Isolation Transformer, Pri. 208Y/120 V, Sec. 208Y/120 V",REX MANUFACTURING,45 kVA,208/120 volts,208/120 volts,3-phase,Dry,,Nema 2,Model  BA45MM/Z   C46903   CANADA   Used   45 kVA   208/120 volts   208/120 volts   3-phase   Isolation   Dry   Nema 2   Cooling: ANN Temp Rise: 150C  Insulation Class: 220C,https://www.lenmark.com//collections/dry-type-transformer/products/45-kva-isolation-transformer-pri-208y-120-v-sec-208y-120-v
